FundingDecisionId2,GeographicAreaId1,GeographicAreaCode_ISO21,GeographicAreaCode_ISO22,GeographicAreaCode_ISO31,GeographicAreaName1,GeographicAreaLevelName1,ComponentId1,ComponentName1,PeriodFrom,PeriodTo,Currency,AllocatedAmount,ProgramSplitAmount,ProgramSplitStatus,AllocationUtilizationPeriodStartDate,AllocationUtilizationPeriodEndDate
1988369a-b982-4209-85e2-866e8d00cac5,c0959d2a-326e-472a-a375-b8e70640560a,UA,UA,UKR,Ukraine,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,48646090.00,48646090.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
88ef2df2-55e2-4c65-9dd8-f68c5f962aa0,c0959d2a-326e-472a-a375-b8e70640560a,UA,UA,UKR,Ukraine,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,70836441.00,70836441.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
b3638faf-63dd-41f2-85fb-00bd4c527019,457575cc-1c31-4a91-84bb-ba8022a15007,CR,CR,CRI,Costa Rica,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,2120098.00,2120098.00,Agreed,7/1/2018 12:00:00 AM,6/30/2021 12:00:00 AM
f2d66320-7a46-4f89-9544-1e882075da84,d0e17d32-68e3-481a-9ca5-bac4e685c119,ID,ID,IDN,Indonesia,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,102416537.00,102416537.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
9ab5de6c-a574-4470-a30c-4b159f999dc4,d0e17d32-68e3-481a-9ca5-bac4e685c119,ID,ID,IDN,Indonesia,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,53644906.00,53644906.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
50f00687-1295-4d4c-af79-6a2db30b5b2a,d0e17d32-68e3-481a-9ca5-bac4e685c119,ID,ID,IDN,Indonesia,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,91934562.00,91934562.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
45a88398-debb-4cdc-9b8d-6596e114d49f,0b4ea0b4-59bb-4357-94b1-bb0e8d1e57ed,AL,AL,ALB,Albania,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,1138134.00,1138134.00,Original,1/1/2020 12:00:00 AM,12/31/2022 12:00:00 AM
b97e1ec0-1244-48cd-b2cc-95c728ed2dfc,0b4ea0b4-59bb-4357-94b1-bb0e8d1e57ed,AL,AL,ALB,Albania,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,500000.00,500000.00,Original,1/1/2020 12:00:00 AM,12/31/2022 12:00:00 AM
324e62eb-489c-4e9d-a959-55d926539fd9,d7a14533-1ebf-45ef-b4a1-bcce46d6b5bd,XK,XK,QNA,Kosovo,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,1714198.18,1527522.00,Agreed,1/1/2019 12:00:00 AM,12/31/2021 12:00:00 AM
cf73ae6a-0db8-498a-82d0-c6a5ebc88428,d7a14533-1ebf-45ef-b4a1-bcce46d6b5bd,XK,XK,QNA,Kosovo,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,1769086.52,1576433.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
9c761d35-8241-4d4d-a8ae-4db650a55429,f1b33974-aeec-4ab8-9519-bd3600122512,ZA,ZA,ZAF,South Africa,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,317721470.00,317721470.00,Original,4/1/2019 12:00:00 AM,3/31/2022 12:00:00 AM
04af5e35-947f-476a-8f3a-cbc4664af056,f1b33974-aeec-4ab8-9519-bd3600122512,ZA,ZA,ZAF,South Africa,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,35599651.00,35599651.00,Original,4/1/2019 12:00:00 AM,3/31/2022 12:00:00 AM
8320c1bf-04d5-475b-9362-0b16b396c2b0,eeec578f-3e14-400d-b4f8-bdd80de3cb6d,PA,PA,PAN,Panama,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,1779385.00,1779385.00,Original,1/1/2019 12:00:00 AM,12/31/2021 12:00:00 AM
ec72c842-67c8-433d-97b3-8ed6050fb058,eeec578f-3e14-400d-b4f8-bdd80de3cb6d,PA,PA,PAN,Panama,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,906507.00,906507.00,Original,1/1/2019 12:00:00 AM,12/31/2021 12:00:00 AM
f10deef1-b118-4a20-9274-ebeac9fa9e49,e32d1235-1bf9-46c7-af05-bf85a0873595,ME,ME,MNE,Montenegro,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,625000.56,556938.00,Agreed,,
187f8d9d-9cb5-4ec2-8149-5dcb55c77c31,38c052af-358f-4185-b3b6-c0d3ab4ede7d,NA,NA,NAM,Namibia,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,29406863.00,28859705.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
2325f398-c004-4e03-8bb3-7e6fca0882ae,38c052af-358f-4185-b3b6-c0d3ab4ede7d,NA,NA,NAM,Namibia,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,5876588.00,5876588.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
f307d0b8-4031-461c-aa48-bba8c47174bd,38c052af-358f-4185-b3b6-c0d3ab4ede7d,NA,NA,NAM,Namibia,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,1823454.00,2370612.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
9610a82b-c81d-469a-99b5-94bf172f1ef1,b3174ce7-b534-4296-bade-cea09beeeb04,ML,ML,MLI,Mali,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,51808127.03,45466222.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
054fb513-48e3-4af7-add6-ec75d1d31a7c,b3174ce7-b534-4296-bade-cea09beeeb04,ML,ML,MLI,Mali,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,4854374.37,7500000.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
6cf285be-31b4-4ef8-a202-f25e4b589e71,b3174ce7-b534-4296-bade-cea09beeeb04,ML,ML,MLI,Mali,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,56000000.00,47427333.00,Agreed,1/1/2019 12:00:00 AM,12/31/2021 12:00:00 AM
b53bb8e7-6def-4422-97ed-55d7b1b7e7e8,b582c23d-697d-4370-a81b-d3dd72eab7c2,SZ,SZ,SWZ,Swaziland,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,11900000.00,11900000.00,Agreed,7/1/2018 12:00:00 AM,6/30/2021 12:00:00 AM
df0e95be-637b-4479-805e-671105dacd93,b582c23d-697d-4370-a81b-d3dd72eab7c2,SZ,SZ,SWZ,Swaziland,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,35310126.00,35310126.00,Agreed,10/1/2018 12:00:00 AM,9/30/2021 12:00:00 AM
7f38e456-265f-43e9-b2a1-c00df53dc7bb,b582c23d-697d-4370-a81b-d3dd72eab7c2,SZ,SZ,SWZ,Swaziland,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,2581055.00,2581055.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
2f9bd622-d288-4631-9349-1024fc60a449,9fa56c37-6f5d-4f04-a8ef-d41b4b7e1502,ST,ST,STP,Sao Tome and Principe,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,3900000.00,3475290.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
d7a42711-30dd-49c6-945d-709868103e08,9fa56c37-6f5d-4f04-a8ef-d41b4b7e1502,ST,ST,STP,Sao Tome and Principe,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,911176.07,811949.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
75872089-3fc9-4541-9534-b8f38bef19d4,9fa56c37-6f5d-4f04-a8ef-d41b4b7e1502,ST,ST,STP,Sao Tome and Principe,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,899645.38,801674.00,Agreed,4/1/2018 12:00:00 AM,3/31/2021 12:00:00 AM
d6c44f28-2756-4741-84ad-86b312495f8d,4b856894-86ff-43b0-99bf-d7074ff6d634,EG,EG,EGY,Egypt,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,1558243.00,1558243.00,Original,,
d0f31bda-0210-4897-bbfc-997fe3f17ce3,4b856894-86ff-43b0-99bf-d7074ff6d634,EG,EG,EGY,Egypt,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,500093.00,500093.00,Original,,
edb26062-5a11-4f77-a9f6-2d0c81aa10a4,9e8b8568-adaa-4b26-af09-da5b112c51e7,UG,UG,UGA,Uganda,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,188322878.00,186693747.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
efbe8872-662b-454c-a5c6-ac9b39795e7d,9e8b8568-adaa-4b26-af09-da5b112c51e7,UG,UG,UGA,Uganda,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,21101922.00,22406578.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
e3e5b36c-eaf6-402f-b620-db47aa2b6ac1,9e8b8568-adaa-4b26-af09-da5b112c51e7,UG,UG,UGA,Uganda,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,255632244.00,255956719.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
5db333a4-c761-44c3-ad48-edf3bc6a400c,b64c29b4-0131-4f67-8c06-da720fc20e63,IR,IR,IRN,Iran (Islamic Republic),Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,10687693.00,10687693.00,Agreed,4/1/2018 12:00:00 AM,3/31/2021 12:00:00 AM
3c477153-9363-431a-8f97-b65a588d7036,9e2e4c76-e3b7-480b-ba13-e1174183d95e,MD,MD,MDA,Moldova,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,8018088.88,7144919.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
e4c3dc94-4f26-4c2d-bbb4-edc339946229,9e2e4c76-e3b7-480b-ba13-e1174183d95e,MD,MD,MDA,Moldova,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,9821346.65,8751802.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
493ee95a-d31c-414d-b37c-8289826d6779,780f55f5-d8cd-4189-944e-e2b82dcc317b,CG,CG,COG,Congo,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,14208223.54,12660948.00,Agreed,,
71748e9d-66bc-4ff9-99a8-89561a46b761,780f55f5-d8cd-4189-944e-e2b82dcc317b,CG,CG,COG,Congo,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,12950235.66,11539955.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
01a15df8-c013-480b-aaf9-e7e228958f42,780f55f5-d8cd-4189-944e-e2b82dcc317b,CG,CG,COG,Congo,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,4165629.00,3711992.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
47cb597a-61be-4230-b292-0c357c9bda09,778aa112-0067-4fe9-a0b4-e4bd72ef67de,NP,NP,NPL,Nepal,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,16138548.00,16138548.00,Agreed,3/16/2018 12:00:00 AM,3/15/2021 12:00:00 AM
ac695276-b8a9-4a77-b2ea-1582cc0f6029,778aa112-0067-4fe9-a0b4-e4bd72ef67de,NP,NP,NPL,Nepal,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,4208547.00,4208547.00,Agreed,3/16/2018 12:00:00 AM,3/15/2021 12:00:00 AM
e9c17045-6e76-4d9e-847e-92f399bc6c2a,778aa112-0067-4fe9-a0b4-e4bd72ef67de,NP,NP,NPL,Nepal,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,21964144.00,21964144.00,Agreed,3/16/2018 12:00:00 AM,3/15/2021 12:00:00 AM
c1e15e1b-2ed4-4f62-8014-4050c0bda0a7,6e687023-6549-45be-ad92-e64151157471,GH,GH,GHA,Ghana,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,16012823.00,18156096.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
c4dddb9a-2696-48cb-9846-599cffae67b1,6e687023-6549-45be-ad92-e64151157471,GH,GH,GHA,Ghana,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,66436395.00,65792327.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
6f12e428-618f-4afb-b7f7-f35c790354c5,6e687023-6549-45be-ad92-e64151157471,GH,GH,GHA,Ghana,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,111531421.00,110032216.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
e9b071b4-07b9-4af5-afdd-4204ea4684c0,a4632d2c-dffa-495b-ae1d-e6cb5a19fdb5,JM,JM,JAM,Jamaica,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,9930638.00,9930638.00,Original,1/1/2019 12:00:00 AM,12/31/2021 12:00:00 AM
f076bf99-b0d2-4f31-ac2f-66b6cf33875b,c5cf823c-3aaf-4237-adff-e734cb741fa1,SV,SV,SLV,El Salvador,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,14481816.00,14481816.00,Agreed,1/1/2019 12:00:00 AM,12/31/2021 12:00:00 AM
46c04ca9-12dd-4d1e-883f-b3a09acad525,c5cf823c-3aaf-4237-adff-e734cb741fa1,SV,SV,SLV,El Salvador,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,4242741.00,4242741.00,Agreed,1/1/2019 12:00:00 AM,12/31/2021 12:00:00 AM
37d2b399-545d-4085-82d7-587899d201a0,d9728bba-df64-4ff5-9968-f195de080917,SL,SL,SLE,Sierra Leone,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,40265850.00,30000000.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
697d9129-5ced-4f5b-9050-c2b3a8ecf887,d9728bba-df64-4ff5-9968-f195de080917,SL,SL,SLE,Sierra Leone,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,43960771.00,35400000.00,Agreed,7/1/2018 12:00:00 AM,6/30/2021 12:00:00 AM
c476f569-c1f1-4b6f-9077-cc53844e0491,d9728bba-df64-4ff5-9968-f195de080917,SL,SL,SLE,Sierra Leone,Country,bb43fbf2-5897-40c5-aa85-4a5edff13fa0,RSSH,2017,2019,US$,0.00,17524651.00,Agreed,7/1/2018 12:00:00 AM,6/30/2021 12:00:00 AM
c869bf7c-f13d-481e-a58a-cd0768118b90,d9728bba-df64-4ff5-9968-f195de080917,SL,SL,SLE,Sierra Leone,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,6698030.00,8000000.00,Agreed,7/1/2018 12:00:00 AM,6/30/2021 12:00:00 AM
e191b5bc-a934-4342-b4c4-50a524e6032b,abd20e6f-1d8d-4fd0-964e-f429e276d3ac,CM,CM,CMR,Cameroon,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,99897386.38,89018561.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
7140437b-f8be-47d9-bbf2-83924a5b7b0e,abd20e6f-1d8d-4fd0-964e-f429e276d3ac,CM,CM,CMR,Cameroon,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,11205425.88,9985155.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
89d5421a-9be4-4225-a540-9cb57fa8082c,abd20e6f-1d8d-4fd0-964e-f429e276d3ac,CM,CM,CMR,Cameroon,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,73453444.06,65454364.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
a5b62eb5-b7f6-4c5a-aacc-3fc3cb6e9d2e,216dd399-f56a-4064-a4ac-f88cc982fde5,AM,AM,ARM,Armenia,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,3138925.00,3138925.00,Original,10/1/2018 12:00:00 AM,9/30/2021 12:00:00 AM
2f4295c4-1e5a-4784-b914-9725fc2f6baa,216dd399-f56a-4064-a4ac-f88cc982fde5,AM,AM,ARM,Armenia,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,5282781.00,5282781.00,Original,10/1/2018 12:00:00 AM,9/30/2021 12:00:00 AM
e49063ef-4a30-4673-b30a-66b9641e5b85,c34c5b40-98a0-4aa2-9501-f9290181a671,TN,TN,TUN,Tunisia,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,4060055.00,4060055.00,Original,1/1/2019 12:00:00 AM,12/31/2021 12:00:00 AM
e273446b-071e-4bcd-b992-954d0319c0f0,c357c367-5c94-4ccc-b849-fc4f61159000,SD,SD,SDN,Sudan,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,98522995.00,83744545.80,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
0f912435-ec68-443f-9946-a43e0e636469,c357c367-5c94-4ccc-b849-fc4f61159000,SD,SD,SDN,Sudan,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,12262049.00,12262049.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
da45a6d3-c390-4ddc-a7f8-c7653bc47476,c357c367-5c94-4ccc-b849-fc4f61159000,SD,SD,SDN,Sudan,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,18839720.00,16578953.60,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
7a4202cf-636b-41ae-9881-f59c446366cb,c357c367-5c94-4ccc-b849-fc4f61159000,SD,SD,SDN,Sudan,Country,bb43fbf2-5897-40c5-aa85-4a5edff13fa0,RSSH,2017,2019,US$,0.00,17039215.60,Agreed,,
e04e971c-b409-4846-a4cc-10515f6c49f3,4ccf2884-f37a-477f-9e3d-fcd8926fb15e,BI,BI,BDI,Burundi,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,29916039.00,29916039.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
e459e45f-95cd-47e1-ba89-4d44284b36b8,4ccf2884-f37a-477f-9e3d-fcd8926fb15e,BI,BI,BDI,Burundi,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,36656018.00,36656018.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
510c5bb1-2d39-4d68-b84f-b4dac9599046,4ccf2884-f37a-477f-9e3d-fcd8926fb15e,BI,BI,BDI,Burundi,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,5728765.00,5728765.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
68314e60-5784-431a-aac4-ee4e89f6fb7e,ba354972-1389-4a5d-a1b6-feb1c167b2e0,RO,RO,ROU,Romania,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,4548279.65,4052972.00,Original,4/1/2018 12:00:00 AM,3/31/2021 12:00:00 AM
1bb70e22-d4aa-40a2-b39c-2b73a9af3981,19a42508-b05c-4128-a2ed-ff5eea6af30d,TZ,TZ,TZA,Tanzania (United Republic),Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,145258808.00,145258808.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
544f3818-27b0-4c0a-bdf4-5c6ca4ca5cfc,19a42508-b05c-4128-a2ed-ff5eea6af30d,TZ,TZ,TZA,Tanzania (United Republic),Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,25849887.00,26539049.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
1959f1bf-8768-432e-8b4e-69d182da7be2,19a42508-b05c-4128-a2ed-ff5eea6af30d,TZ,TZ,TZA,Tanzania (United Republic),Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,408487081.00,364338372.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
e51a1529-70f4-44ee-b479-d34ba47be906,19a42508-b05c-4128-a2ed-ff5eea6af30d,TZ,TZ,TZA,Tanzania (United Republic),Country,bb43fbf2-5897-40c5-aa85-4a5edff13fa0,RSSH,2017,2019,US$,0.00,43459547.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM

